code_insee;nom_officiel;x;y;lon;lat;dist_km
44148;Ruffigné;316000;2313000;-1.45262365;47.75482514;0.0
44149;Saffré;300000;2281000;-1.64414251;47.46024568;0.0
44150;Saint-Aignan-Grandlieu;300000;2241000;-1.61746825;47.10088163;1.1354091790738612
44151;Saint-André-des-Eaux;252000;2273000;-2.27347839;47.36481079;2.0710026212837493
44152;Sainte-Anne-sur-Brivet;268000;2281000;-2.06790583;47.44490087;0.06491029224637142
44153;Saint-Aubin-des-Châteaux;316000;2305000;-1.44748971;47.68295722;0.0
44154;Saint-Brevin-les-Pins;260000;2257000;-2.15563744;47.22528584;0.0
44155;Saint-Colomban;308000;2233000;-1.50704383;47.032569;0.2255238923871825
44156;Corcoué-sur-Logne;300000;2225000;-1.6068944;46.95712367;0.0
44157;Saint-Étienne-de-Mer-Morte;292000;2225000;-1.71187064;46.9534664;0.0
44158;Saint-Étienne-de-Montluc;292000;2257000;-1.73363466;47.24095616;0.3906321999334831
44159;Saint-Fiacre-sur-Maine;316000;2241000;-1.40691238;47.10792598;2.3255854691625775
44161;Saint-Gildas-des-Bois;268000;2289000;-2.07385305;47.51674697;0.0
44162;Saint-Herblain;300000;2257000;-1.62809645;47.24463289;0.0
44163;Vair-sur-Loire;340000;2273000;-1.10946274;47.40535755;0.0
44164;Saint-Hilaire-de-Chaléons;276000;2241000;-1.93319191;47.08959219;0.0
44165;Saint-Hilaire-de-Clisson;324000;2233000;-1.29674378;47.03941222;0.0
44166;Saint-Jean-de-Boiseau;292000;2249000;-1.72817294;47.16908638;1.5791255107251956
44168;Saint-Joachim;252000;2273000;-2.27347839;47.36481079;0.0
44169;Saint-Julien-de-Concelles;316000;2257000;-1.41697628;47.25169687;0.0
